Gender,Age,HeadCircumference,ShoulderWidth,ChestWidth,Belly,Waist,Hips,ArmLength,ShoulderToWaist,WaistToKnee,LegLength,TotalHeight
1.0,30.0,22.0,18.0,20.0,18.0,14.0,22.0,22.0,25.0,25.0,22.0,52
1.0,28.0,19.0,22.0,17.0,18.0,21.0,25.0,28.0,23.0,25.0,20.0,56
2.0,27.0,21.0,18.0,16.0,14.0,10.0,15.0,21.0,18.0,14.0,18.0,53
1.0,29.0,20.0,20.0,18.0,11.0,19.0,14.0,24.0,21.0,20.0,21.0,45
2.0,28.0,16.0,14.0,18.0,13.0,11.0,30.0,25.0,22.0,32.0,13.0,47
2.0,22.0,17.0,19.0,18.0,14.0,16.0,18.0,20.0,24.0,21.0,19.0,60
2.0,18.0,25.0,17.0,16.0,17.0,12.0,28.0,23.0,25.0,14.0,18.0,49
2.0,26.0,18.0,15.0,19.0,17.0,23.0,27.0,19.0,19.0,19.0,19.0,58
1.0,23.0,16.0,16.0,20.0,18.0,22.0,18.0,15.0,26.0,20.0,19.0,40
1.0,31.0,15.0,20.0,28.0,18.0,91.0,17.0,16.0,21.0,21.0,19.0,55
1.0,29.0,16.0,28.0,17.0,15.0,21.0,30.0,17.0,25.0,18.0,17.0,50
1.0,35.0,23.0,21.0,18.0,12.0,18.0,27.0,18.0,17.0,19.0,20.0,49
2.0,29.0,21.0,19.0,17.0,17.0,20.0,21.0,20.0,20.0,18.0,22.0,59
1.0,30.0,19.0,17.0,18.0,18.0,24.0,28.0,23.0,22.0,17.0,24.0,47
2.0,20.0,24.0,21.0,17.0,16.0,18.0,19.0,19.0,27.0,17.0,19.0,51
2.0,27.0,19.0,15.0,20.0,11.0,20.0,18.0,19.0,28.0,17.0,18.0,57
2.0,24.0,16.0,20.0,16.0,21.0,25.0,22.0,19.0,19.0,25.0,15.0,60
1.0,30.0,21.0,18.0,21.0,12.0,19.0,21.0,15.0,20.0,21.0,20.0,59
1.0,35.0,20.0,16.0,28.0,18.0,17.0,23.0,16.0,27.0,23.0,26.9,48
1.0,29.0,18.0,15.0,18.0,15.0,18.0,24.0,20.0,25.0,17.0,13.0,42
1.0,35.0,25.0,18.0,18.0,15.0,19.0,19.0,23.0,19.0,18.0,21.0,49
2.0,27.0,21.0,21.0,16.0,18.0,22.0,30.0,15.0,20.0,25.0,26.9,45
1.0,26.0,16.0,22.0,17.0,14.0,24.0,19.0,22.0,18.0,21.0,13.0,54
2.0,24.0,15.0,19.0,17.0,15.0,16.0,20.0,18.0,26.0,21.0,21.0,57
1.0,20.0,16.0,16.0,18.0,17.0,15.0,21.0,19.0,19.0,21.0,20.0,60
1.0,30.0,20.0,17.0,17.0,19.0,18.0,23.0,15.0,17.0,21.0,18.0,57
1.0,35.0,17.0,18.0,18.0,10.0,17.0,24.0,20.0,28.0,20.0,21.0,58
1.0,31.0,19.0,15.0,20.0,14.0,22.0,21.0,25.0,27.0,23.0,19.0,45
1.0,20.0,28.0,14.0,20.0,18.0,19.0,30.0,24.0,25.0,20.0,20.0,51
1.0,24.0,29.0,20.0,18.0,17.0,18.0,35.0,20.0,20.0,16.0,30.0,31
2.0,27.0,17.0,22.0,16.0,12.0,18.0,30.0,17.0,27.0,11.0,31.0,30
1.0,29.0,19.0,20.0,20.0,14.0,18.0,21.0,20.0,28.0,12.0,21.0,33
1.0,27.0,24.0,19.0,16.0,15.0,19.0,21.0,17.0,24.0,12.0,28.0,60
2.0,18.0,15.0,21.0,16.0,15.0,20.0,21.0,18.0,17.0,12.0,39.0,45
2.0,19.0,14.0,22.0,18.0,17.0,13.0,20.0,19.0,18.0,13.0,27.0,47
2.0,20.0,19.0,19.0,18.0,18.0,11.0,23.0,20.0,19.0,14.0,28.0,48
2.0,24.0,17.0,21.0,19.0,18.0,11.0,24.0,19.0,20.0,18.0,22.0,40
1.0,22.0,18.0,16.0,16.0,19.0,12.0,28.0,19.0,21.0,18.0,21.0,48
