height,weight,gender,age,form,shoulder,sleeve,neck,chest,waist,stomach,hip,front_jacket,biceps,armhole,front_vest,back_length,crotch,pants_length,thight,lower_thight,calves,leg_opening_width
0.0,0.0,2,27,2,0.0,58.0,0.0,0.0,77,72,91,102,27,27,110,55,23,93,44,40,37,28
172.0,76.0,2,28,1,46.0,60.0,42.0,103.0,81,71,86,103,34,23,88,42,29,70,59,33,35,16
173.0,66.0,1,36,5,46.0,60.0,43.0,100.0,61,85,94,98,30,25,99,49,25,78,53,39,34,28
171.0,68.0,1,17,4,44.0,59.0,40.0,100.0,114,118,107,98,42,26,98,50,31,96,80,43,45,20
0.0,0.0,2,35,2,0.0,0.0,0.0,0.0,107,111,122,114,39,22,115,69,30,80,80,43,46,16
166.0,63.0,2,49,4,45.0,59.0,42.0,92.0,62,80,99,85,32,21,88,49,28,78,47,33,36,30
175.0,70.0,2,42,1,46.0,60.0,40.0,102.0,67,98,93,86,26,30,102,59,23,78,53,33,36,15
179.0,105.0,1,27,3,49.0,60.0,48.0,116.0,67,74,91,93,26,30,103,52,23,82,56,33,35,18
170.0,81.0,1,20,4,0.0,0.0,0.0,0.0,109,88,123,130,46,30,95,46,28,94,50,37,35,21
175.0,79.0,1,23,3,47.0,62.0,0.0,105.0,103,93,112,104,48,26,99,54,31,104,64,48,35,20
162.0,58.0,1,35,5,42.0,57.0,39.0,94.0,100,108,108,123,30,26,129,75,30,81,63,36,37,27
0.0,0.0,2,27,2,45.0,0.0,0.0,95.0,71,107,100,110,42,25,130,75,29,90,67,48,44,25
0.0,0.0,2,39,4,0.0,0.0,0.0,0.0,73,79,86,106,32,23,100,47,30,72,53,37,37,23
171.0,70.0,1,28,3,45.0,56.0,40.0,95.0,75,87,104,104,30,25,104,43,23,93,45,34,32,21
0.0,0.0,1,49,5,45.0,0.0,0.0,100.0,97,109,113,97,46,23,108,46,30,97,56,40,46,26
0.0,0.0,1,20,5,47.0,0.0,0.0,108.0,85,80,116,93,36,24,114,65,33,107,55,36,44,29
0.0,0.0,1,22,4,0.0,0.0,0.0,0.0,75,95,92,111,50,26,103,48,27,84,63,47,47,15
173.0,66.0,1,41,4,0.0,0.0,0.0,0.0,82,107,108,124,36,28,104,77,33,105,76,45,41,28
176.0,72.0,1,49,4,44.0,62.0,39.0,95.0,103,97,117,130,50,21,116,59,28,95,78,39,36,15
172.0,64.0,2,41,1,44.5,57.0,40.0,97.0,92,107,103,105,37,30,127,71,33,97,65,36,37,20
0.0,0.0,2,47,4,0.0,0.0,0.0,0.0,87,95,83,92,32,20,101,41,30,88,52,40,30,19
173.0,77.0,2,34,5,47.0,62.0,41.0,100.0,64,94,81,98,25,21,86,57,28,86,58,30,31,26
171.0,72.0,2,38,2,0.0,0.0,0.0,0.0,64,71,107,108,29,29,104,52,27,71,56,35,36,19
170.0,62.0,1,33,1,44.0,0.0,0.0,90.0,80,82,96,86,34,25,94,45,28,96,41,37,37,27
170.0,86.0,1,32,4,47.0,0.0,0.0,112.0,103,95,92,110,34,25,124,80,31,93,80,45,49,15
180.0,84.0,2,25,5,47.0,61.0,0.0,106.0,81,82,100,119,47,25,111,58,32,88,60,42,35,21
0.0,0.0,1,37,4,0.0,0.0,0.0,0.0,62,97,98,86,30,21,82,48,23,74,45,35,30,17
163.0,63.0,1,49,1,41.0,0.0,0.0,93.0,82,94,104,125,45,23,124,62,34,101,69,46,39,22
167.0,68.0,2,38,4,44.0,58.0,42.0,98.0,83,82,116,102,46,25,107,57,26,105,68,45,48,23
0.0,0.0,1,19,4,46.0,60.0,43.0,100.0,71,91,108,106,26,25,89,46,24,76,53,35,34,21
0.0,0.0,1,39,5,44.0,57.0,40.5,101.0,110,104,110,116,44,28,101,60,34,100,79,45,38,24
0.0,0.0,1,21,1,4.0,58.0,42.0,0.0,74,108,125,113,48,23,117,53,35,84,50,47,46,27
0.0,0.0,2,33,5,45.0,57.0,41.0,100.0,113,119,116,107,43,27,115,61,28,82,78,48,48,19
0.0,0.0,1,32,4,0.0,0.0,0.0,0.0,80,77,103,107,25,23,107,53,21,74,51,40,35,15
17.0,66.0,2,45,5,43.0,61.0,0.0,95.0,71,82,94,100,47,24,93,55,29,107,77,35,50,17
180.0,80.0,1,24,3,47.0,60.0,41.0,102.0,65,94,83,98,35,21,102,53,27,74,42,37,36,18
168.0,74.0,1,42,2,46.0,0.0,0.0,104.0,76,85,128,107,47,21,126,64,25,94,64,37,43,27
0.0,0.0,2,50,2,0.0,0.0,0.0,0.0,98,96,122,110,37,24,100,47,25,80,79,40,39,23
168.0,68.0,2,41,5,44.0,58.0,40.0,98.0,68,84,89,95,30,21,84,49,22,83,54,34,39,26
183.0,75.0,1,33,2,46.0,63.0,41.0,100.0,80,80,97,99,33,21,88,52,26,73,41,32,31,19
168.0,70.0,2,18,5,0.0,0.0,0.0,0.0,90,90,102,91,33,21,112,54,28,93,73,48,43,21
172.0,85.0,2,40,4,46.0,0.0,0.0,104.0,85,79,85,89,35,24,93,56,28,98,50,34,38,16
0.0,0.0,1,36,5,0.0,0.0,0.0,0.0,78,89,97,97,35,21,80,49,21,73,55,32,30,25
166.0,54.5,2,18,3,0.0,0.0,0.0,0.0,82,92,118,92,32,20,111,47,25,86,79,42,48,20
0.0,0.0,2,47,3,44.0,59.0,39.0,0.0,86,76,91,99,28,22,87,57,21,90,58,33,30,26
172.0,70.0,2,31,1,47.0,0.0,0.0,103.0,76,99,99,99,33,24,108,43,27,91,52,40,36,30
168.0,66.0,1,50,2,0.0,0.0,0.0,0.0,80,78,110,93,34,20,103,42,20,70,56,33,40,23
164.0,90.0,1,40,5,0.0,0.0,0.0,0.0,102,86,122,119,40,22,99,60,31,84,78,44,50,17
170.0,76.0,1,46,3,45.0,61.0,43.0,100.0,106,105,106,121,46,23,118,65,25,98,59,35,35,19
169.0,65.0,2,17,2,0.0,0.0,0.0,0.0,103,111,117,115,42,24,90,61,28,103,76,47,50,29
0.0,0.0,1,48,1,46.0,0.0,0.0,99.0,83,77,106,86,32,21,87,46,28,95,40,30,34,16
160.0,58.0,2,18,5,0.0,0.0,0.0,0.0,118,115,100,101,41,24,101,61,31,100,63,41,48,30
185.0,80.0,1,18,2,48.0,6.0,4.0,102.0,65,90,106,110,35,24,107,51,24,75,47,35,36,20
176.0,90.0,2,44,3,0.0,0.0,0.0,0.0,88,117,123,130,50,23,96,51,32,94,75,41,42,18
163.0,55.0,1,32,5,42.0,0.0,0.0,88.0,80,79,109,84,29,25,110,55,21,74,50,34,36,30
158.0,60.0,2,18,3,0.0,0.0,0.0,0.0,83,105,116,103,48,20,110,52,28,80,57,42,44,18
0.0,0.0,1,28,5,45.0,0.0,0.0,104.0,60,71,97,88,31,20,85,47,21,83,56,31,37,22
180.0,85.0,2,37,2,46.0,0.0,0.0,105.0,105,115,115,111,49,20,95,70,35,81,72,40,50,18
0.0,0.0,1,34,1,43.0,0.0,0.0,96.0,86,73,85,86,35,25,81,48,27,82,56,39,39,23
169.0,66.0,1,22,4,43.0,0.0,0.0,99.0,92,102,123,113,31,20,98,76,32,107,76,49,37,17
0.0,0.0,2,21,2,43.0,59.0,40.0,99.0,109,119,116,107,42,25,121,61,35,107,52,37,37,16
167.0,55.0,2,35,4,0.0,0.0,0.0,0.0,60,84,91,110,25,24,101,44,20,87,41,37,32,27
0.0,0.0,1,18,4,47.0,65.0,42.0,105.0,82,82,110,93,29,23,109,42,28,70,42,32,34,16
164.0,65.0,1,22,5,46.0,59.0,40.0,103.0,119,113,101,94,36,25,108,47,31,81,67,46,40,18
169.0,68.0,1,18,5,45.0,57.0,43.0,97.0,90,120,126,116,39,24,100,73,26,109,52,35,36,21
0.0,0.0,1,35,4,0.0,0.0,0.0,0.0,115,101,103,105,50,24,102,80,31,93,69,49,46,25
159.0,56.0,2,39,5,41.0,0.0,0.0,90.0,116,93,124,119,36,24,106,58,30,99,61,43,45,28
169.0,54.0,1,45,2,41.0,0.0,0.0,90.0,88,99,82,93,27,24,109,40,22,75,42,38,38,24
165.0,65.0,2,39,1,0.0,0.0,0.0,0.0,110,97,127,123,39,24,102,45,27,93,78,41,46,25
164.0,64.0,1,43,2,0.0,0.0,0.0,0.0,71,98,91,93,25,20,107,43,20,71,56,37,37,16
168.0,63.0,1,38,5,43.0,56.0,39.0,97.0,109,109,129,115,39,23,122,71,30,89,54,50,43,24
0.0,0.0,2,27,1,43.0,0.0,0.0,97.0,97,101,104,103,41,25,130,59,32,101,63,42,45,25
165.0,57.0,1,44,1,0.0,0.0,0.0,0.0,87,84,91,101,34,21,104,58,24,93,49,32,35,24
0.0,0.0,1,21,4,100.0,0.0,0.0,107.0,99,97,100,111,44,25,104,48,27,94,66,43,47,15
0.0,0.0,1,29,1,43.0,0.0,0.0,93.0,77,113,110,124,49,23,126,58,31,86,51,48,41,15
166.0,71.0,1,16,2,45.0,60.0,42.0,98.0,73,83,103,126,34,21,94,53,34,93,72,44,35,24
0.0,0.0,1,17,2,0.0,0.0,0.0,0.0,111,109,129,105,48,22,112,56,29,106,60,46,36,23
172.0,70.0,2,41,1,45.0,0.0,0.0,99.0,120,119,124,114,45,20,121,49,27,93,68,50,47,15
160.0,56.0,1,40,1,0.0,0.0,0.0,0.0,76,73,80,108,30,25,96,50,29,82,54,31,40,29
167.0,55.0,1,44,1,41.0,0.0,0.0,90.0,99,111,113,119,43,25,100,74,29,93,52,41,35,21
0.0,0.0,2,34,2,45.0,59.0,40.0,97.0,116,91,111,115,35,24,96,54,32,110,64,41,49,17
167.0,62.0,1,49,2,45.0,0.0,0.0,99.0,74,74,98,103,29,25,109,59,23,95,52,30,40,20
0.0,0.0,1,25,1,48.0,0.0,0.0,109.0,92,109,102,126,48,25,101,65,34,87,60,44,43,19
174.0,80.0,2,18,5,0.0,0.0,0.0,0.0,103,119,102,123,36,25,101,56,35,103,67,46,39,27
178.0,80.0,1,37,2,47.0,62.0,42.0,107.0,72,98,108,83,35,24,94,58,26,85,52,39,36,29
0.0,0.0,1,34,1,0.0,0.0,0.0,0.0,71,82,92,112,40,25,122,71,33,107,79,38,41,16
0.0,0.0,1,27,4,0.0,0.0,0.0,0.0,73,100,100,128,31,20,123,48,34,101,73,38,38,29
0.0,0.0,2,26,3,0.0,0.0,0.0,0.0,97,111,95,112,48,23,115,54,35,98,71,42,35,21
170.0,81.0,2,37,1,46.0,0.0,0.0,106.0,85,96,88,103,26,25,81,50,25,70,44,39,38,19
168.0,56.0,1,37,2,0.0,0.0,0.0,0.0,70,78,104,93,26,24,96,57,24,75,56,37,40,16
0.0,0.0,1,28,3,0.0,0.0,0.0,0.0,114,82,102,126,45,21,104,77,31,105,79,46,39,22
0.0,0.0,1,42,1,0.0,0.0,0.0,0.0,101,103,92,95,31,20,92,76,27,81,68,49,41,19
0.0,0.0,1,24,5,0.0,0.0,0.0,0.0,106,87,100,93,39,25,110,45,29,82,61,48,43,23
0.0,54.0,1,49,5,43.0,0.0,0.0,91.0,95,98,127,115,40,24,113,73,25,106,69,36,43,15
169.0,68.0,1,24,1,44.5,61.0,42.0,96.0,115,104,121,114,47,21,107,75,32,94,71,46,37,21
163.0,59.0,1,45,1,42.0,56.0,40.0,92.0,110,120,125,92,45,21,107,47,34,98,58,50,40,20
162.0,62.0,2,37,4,42.0,0.0,0.0,95.0,95,104,118,122,46,24,100,60,26,107,57,50,36,15
166.0,63.0,2,28,3,44.5,59.0,42.0,92.0,61,96,100,80,29,21,85,58,20,88,53,30,37,16
170.0,75.0,1,16,1,48.0,0.0,0.0,104.0,69,90,106,84,33,23,97,45,22,71,54,32,33,30
167.0,77.0,2,23,3,46.0,56.0,41.0,100.0,115,87,111,122,42,20,103,49,35,85,75,47,44,22
160.0,68.0,1,30,5,43.5,0.0,0.0,99.0,74,86,103,98,27,23,94,60,30,84,42,35,31,26
173.0,70.0,2,45,1,45.0,0.0,0.0,99.0,78,83,97,124,44,20,104,80,34,93,66,40,35,27
163.0,60.0,2,47,2,43.0,0.0,0.0,97.0,82,89,99,95,35,22,80,44,27,84,50,33,36,15
163.0,57.0,2,27,3,41.0,59.0,37.0,95.0,70,93,89,81,33,25,100,55,27,81,53,40,37,27
0.0,0.0,2,26,3,0.0,0.0,0.0,0.0,69,97,95,97,26,24,80,50,26,98,44,40,37,19
0.0,0.0,2,44,1,46.0,56.0,42.0,105.0,90,91,106,101,30,20,84,42,26,74,48,40,40,18
164.0,60.0,2,39,4,0.0,0.0,0.0,0.0,85,92,102,87,29,21,83,46,20,78,55,35,34,19
178.0,73.0,2,29,2,0.0,0.0,0.0,0.0,60,89,92,109,32,23,85,48,23,80,52,35,30,20
0.0,0.0,2,20,2,0.0,0.0,0.0,0.0,62,86,87,107,32,25,80,51,20,72,50,40,38,19
168.0,79.0,2,44,5,0.0,0.0,0.0,0.0,82,75,99,92,33,22,107,51,21,89,50,30,30,26
0.0,0.0,1,45,4,0.0,0.0,0.0,0.0,82,73,102,105,31,20,106,57,30,73,56,39,37,26
0.0,0.0,2,44,5,0.0,0.0,0.0,0.0,117,117,116,99,35,21,114,45,29,102,66,42,36,18
170.0,62.0,2,24,5,44.0,0.0,0.0,94.0,68,91,90,102,28,23,88,60,22,78,57,34,36,19
170.0,62.0,1,33,5,0.0,0.0,0.0,0.0,81,82,81,105,33,23,86,47,29,90,51,34,36,24
0.0,0.0,1,17,5,0.0,0.0,0.0,0.0,95,108,106,91,37,24,120,76,29,108,66,35,46,18
66.0,165.0,2,25,5,0.0,0.0,0.0,0.0,85,119,96,122,37,20,112,69,29,83,63,43,46,28
170.0,72.0,2,41,3,45.0,59.0,41.0,101.0,71,79,100,81,35,25,104,54,27,93,59,32,32,20
0.0,0.0,1,42,1,46.0,57.0,0.0,99.0,62,78,84,96,35,22,86,40,21,84,47,34,31,28
0.0,0.0,2,44,4,44.0,57.0,40.0,96.0,72,120,101,128,32,25,93,58,33,83,58,48,38,30
165.0,74.0,2,45,1,0.0,0.0,0.0,0.0,63,71,98,88,34,25,80,58,30,76,51,37,30,29
168.0,75.0,1,44,3,45.0,57.0,41.0,100.0,63,87,101,95,35,22,100,59,25,84,48,34,33,18
0.0,0.0,1,47,5,43.0,0.0,0.0,89.0,117,80,130,104,31,20,126,52,25,80,63,36,40,26
169.0,0.0,2,19,5,0.0,0.0,0.0,0.0,106,81,121,113,31,21,103,62,29,99,58,41,50,25
178.0,81.0,1,21,3,48.0,66.0,45.0,102.0,67,81,98,109,29,20,94,40,27,93,59,33,32,29
0.0,0.0,2,39,4,0.0,0.0,0.0,0.0,106,103,94,115,49,21,127,74,35,84,71,48,45,22
173.0,74.0,2,17,2,45.0,59.0,40.0,102.0,83,71,104,93,25,25,91,44,28,91,40,36,32,15
0.0,0.0,1,50,5,0.0,0.0,0.0,0.0,81,76,110,86,25,21,101,57,30,71,44,36,31,25
164.0,68.0,2,23,2,45.0,58.0,41.0,98.0,119,108,113,126,45,22,112,69,30,105,80,50,50,15
170.0,69.0,2,29,1,0.0,0.0,0.0,0.0,62,87,110,97,35,20,88,46,27,83,57,40,38,24
175.0,70.0,2,23,1,46.0,0.0,0.0,100.0,88,100,86,81,30,21,90,59,26,88,53,31,32,29
0.0,0.0,2,33,2,0.0,0.0,0.0,0.0,87,80,108,86,26,25,108,53,28,79,46,36,32,29
169.0,64.0,1,36,3,45.0,0.0,0.0,96.0,62,92,94,94,34,23,93,48,20,94,45,36,37,26
0.0,0.0,1,24,4,46.0,64.0,40.0,104.0,83,112,124,117,33,22,95,74,35,90,60,38,35,21
0.0,0.0,2,21,2,0.0,58.0,42.0,0.0,108,95,124,128,38,20,128,50,26,87,78,41,43,19
171.0,70.0,1,37,1,0.0,0.0,0.0,0.0,62,100,109,87,34,20,107,52,20,95,53,37,30,30
0.0,0.0,2,43,3,45.0,0.0,0.0,97.0,70,84,123,121,36,24,96,61,31,109,53,36,38,15
0.0,0.0,1,19,1,0.0,0.0,0.0,0.0,69,86,84,97,33,20,81,55,27,70,57,35,30,30
163.0,62.0,2,35,3,46.0,62.0,40.0,101.0,104,89,100,111,48,24,102,50,30,96,78,41,36,16
178.0,87.0,2,19,3,46.0,61.0,41.0,103.0,81,93,83,94,29,21,84,45,21,82,52,37,34,19
168.0,66.0,2,33,3,46.0,59.0,40.0,97.0,83,88,89,94,25,20,89,54,30,96,46,32,34,26
160.0,67.0,2,49,2,0.0,0.0,0.0,0.0,71,100,100,92,33,25,105,42,28,91,56,34,31,20
160.0,54.0,1,31,2,42.0,54.0,40.0,94.0,78,99,104,97,33,24,86,55,22,79,53,32,30,24
0.0,0.0,2,22,1,0.0,0.0,0.0,0.0,83,85,102,97,46,21,123,60,29,84,61,42,50,15
0.0,0.0,2,32,2,45.0,62.0,40.0,99.0,67,98,83,89,25,22,84,52,23,88,42,31,37,24
158.0,58.0,2,45,1,0.0,0.0,0.0,0.0,66,82,85,82,28,23,86,46,27,81,46,40,33,30
175.0,74.0,1,20,4,45.0,61.0,42.0,99.0,81,73,97,85,35,21,99,54,28,72,59,30,36,17
0.0,0.0,2,18,2,0.0,0.0,0.0,0.0,114,97,122,121,49,25,123,71,30,98,70,40,45,24
170.0,85.0,2,29,2,47.0,57.0,42.0,105.0,68,71,91,93,34,22,102,54,21,72,53,32,38,18
155.0,51.0,2,34,3,0.0,0.0,0.0,0.0,89,83,105,107,32,24,85,52,21,71,54,33,33,27
178.0,70.0,2,32,3,45.0,61.0,40.0,100.0,66,71,93,90,35,25,81,42,30,92,51,36,34,20
0.0,0.0,2,17,1,0.0,0.0,0.0,0.0,88,80,80,90,30,25,110,53,21,99,58,35,32,28
0.0,0.0,2,32,1,5.0,0.0,0.0,94.0,69,87,88,109,29,23,106,47,22,81,56,39,40,15
167.0,69.0,1,43,2,46.0,58.0,41.0,103.0,63,93,109,103,27,23,106,44,29,87,58,30,34,16
0.0,0.0,2,33,1,0.0,0.0,0.0,0.0,94,94,111,129,32,21,98,56,29,110,52,48,39,27
174.0,83.0,2,43,4,0.0,0.0,0.0,0.0,62,74,97,81,27,24,84,40,25,89,46,39,35,22
158.0,54.0,1,40,1,47.0,62.0,43.0,102.0,71,80,107,99,34,20,107,46,26,100,42,39,38,25
0.0,0.0,2,21,5,45.0,0.0,0.0,105.0,70,89,115,90,44,23,112,58,35,90,78,50,40,19
172.0,70.0,2,26,1,44.0,0.0,0.0,101.0,84,93,108,90,34,21,82,44,22,100,43,33,33,21
172.0,78.0,1,22,3,0.0,0.0,0.0,0.0,61,98,82,87,30,20,93,53,26,89,53,35,37,28
0.0,0.0,2,25,4,0.0,0.0,0.0,0.0,99,86,125,109,30,23,125,65,33,81,78,49,38,17
184.0,93.0,2,47,3,49.0,64.0,42.0,109.0,72,84,93,81,29,25,82,52,20,90,57,31,37,18
172.0,67.0,1,30,1,0.0,0.0,0.0,0.0,76,76,110,109,32,25,107,59,20,92,46,40,31,24
175.0,96.0,2,47,5,50.0,0.0,0.0,115.0,112,99,95,93,40,20,92,68,26,101,70,43,43,25
172.0,88.0,1,29,3,48.0,61.0,41.0,104.0,69,76,108,102,32,25,92,51,21,72,41,38,38,28
173.0,68.0,2,30,1,45.0,60.5,40.0,97.0,80,114,100,95,40,20,98,61,29,109,51,43,45,30
0.0,0.0,1,44,2,0.0,0.0,0.0,0.0,60,99,109,86,35,21,100,43,25,84,43,36,39,28
0.0,0.0,1,43,3,0.0,0.0,0.0,0.0,83,114,107,109,38,23,119,67,31,82,62,43,45,16
177.0,74.0,2,21,1,0.0,0.0,0.0,0.0,80,105,108,106,32,22,123,61,32,97,51,37,41,26
170.0,75.0,1,25,3,42.0,0.0,0.0,96.0,74,92,92,107,30,22,103,47,28,75,48,35,30,17
0.0,0.0,2,27,3,0.0,0.0,0.0,0.0,107,92,114,114,47,23,111,75,28,96,50,36,40,16
0.0,0.0,1,18,3,39.0,0.0,0.0,90.0,60,90,108,83,28,20,99,42,27,77,50,39,34,26
170.0,55.0,1,19,1,0.0,0.0,0.0,0.0,107,115,130,90,30,20,110,62,33,86,71,49,37,24
0.0,75.0,1,46,5,45.0,0.0,0.0,105.0,75,118,110,118,48,23,93,50,27,106,70,50,43,29
0.0,0.0,2,23,5,4.0,0.0,0.0,1.0,83,86,123,115,32,24,105,70,25,108,60,38,46,21
163.0,51.0,2,17,5,0.0,0.0,0.0,0.0,67,76,102,80,29,25,90,53,29,85,40,34,37,20
171.0,66.0,2,17,1,43.0,0.0,0.0,93.0,78,93,96,86,28,23,104,46,26,70,49,33,37,25
0.0,0.0,2,23,4,43.0,0.0,0.0,91.0,72,79,99,83,35,22,84,47,25,75,44,34,30,16
170.0,54.0,1,38,1,43.0,0.0,0.0,88.0,79,77,105,85,32,24,105,56,29,94,40,33,40,27
0.0,0.0,1,16,5,0.0,0.0,0.0,0.0,102,119,118,127,33,20,104,69,34,100,72,45,44,19
0.0,0.0,2,24,5,42.0,0.0,0.0,95.0,118,96,114,122,31,21,104,69,26,83,70,37,37,27
170.0,66.0,1,26,4,44.0,58.5,41.0,97.0,90,88,95,81,30,24,102,43,24,89,45,40,37,16
0.0,0.0,2,48,5,46.0,61.0,40.0,96.0,81,88,95,91,37,25,117,72,27,91,55,36,40,22
173.0,70.0,1,37,5,44.0,0.0,0.0,100.0,80,82,102,102,34,22,84,54,26,70,57,35,38,16
0.0,0.0,2,49,2,0.0,0.0,0.0,0.0,120,118,129,93,41,25,90,52,30,94,51,41,45,30
171.0,73.0,1,25,4,45.0,60.0,40.0,100.0,79,93,108,93,28,25,81,57,24,84,41,31,31,21
0.0,0.0,2,40,1,0.0,0.0,0.0,0.0,88,107,91,103,48,23,91,53,25,94,79,45,48,16
161.0,60.0,1,18,4,0.0,0.0,0.0,0.0,68,76,95,86,32,25,104,50,28,71,56,33,37,17
0.0,0.0,2,27,4,0.0,0.0,0.0,0.0,106,87,92,111,30,22,128,50,25,89,56,44,49,19
170.0,56.0,1,16,2,0.0,0.0,0.0,0.0,86,94,94,90,27,24,84,49,28,91,51,38,37,24
180.0,75.0,2,42,1,44.0,61.0,40.0,97.0,114,91,115,103,44,22,111,65,31,101,69,39,47,19
176.0,68.0,1,50,1,43.0,0.0,0.0,95.0,64,70,81,104,33,20,96,56,21,99,55,34,38,29
0.0,0.0,2,45,2,0.0,0.0,0.0,0.0,75,99,109,104,35,23,97,75,29,91,68,39,35,29
0.0,0.0,2,41,5,44.0,57.0,38.0,90.0,62,89,107,91,25,22,103,44,21,95,55,30,39,16
0.0,0.0,1,42,5,0.0,0.0,0.0,0.0,63,79,94,88,25,22,107,51,26,73,52,30,35,19
0.0,0.0,2,45,5,0.0,0.0,0.0,0.0,97,106,120,122,43,25,92,72,27,97,70,35,36,27
0.0,0.0,1,50,5,0.0,0.0,0.0,0.0,73,97,99,86,35,21,97,57,29,74,58,32,35,24
0.0,0.0,1,47,5,42.0,56.0,39.0,97.0,112,80,108,113,49,24,96,70,26,94,52,50,37,19
170.0,72.0,2,18,3,0.0,0.0,0.0,0.0,120,96,109,108,35,24,98,57,29,110,52,42,37,21
0.0,0.0,1,30,5,45.0,59.0,41.0,97.0,60,87,104,86,32,25,105,47,22,86,57,35,38,26
174.0,76.0,2,36,1,0.0,0.0,0.0,0.0,108,109,107,99,32,23,126,48,25,88,53,42,49,30
0.0,0.0,2,30,5,45.0,56.0,40.0,98.0,67,98,100,86,27,21,90,51,28,76,60,36,31,26
0.0,0.0,2,22,2,0.0,0.0,0.0,0.0,78,91,101,102,35,20,89,57,26,75,57,34,36,23
168.0,64.0,1,39,2,45.0,0.0,0.0,95.0,65,77,80,106,35,20,108,40,30,93,58,37,38,28
170.0,68.0,1,41,5,44.0,0.0,0.0,96.0,117,120,93,118,39,20,112,75,29,80,55,39,50,16
0.0,0.0,2,18,1,43.0,0.0,0.0,97.0,81,114,128,93,48,24,118,61,35,93,76,49,43,29
