Input,Output,MAE,MSE,RMSE,R2
"height, weight, age, form","shoulder, long_sleeve, sleeve, biceps, armhole, neck, chest, waist, stomach, hip, pants_length, thight, crotch",2.0039793316271752,8.319902097977641,2.8844240496115754,0.9836928350646316
"height, weight, age, form, shoulder","long_sleeve, sleeve, biceps, armhole, neck, chest, waist, stomach, hip, pants_length, thight, crotch",2.049673148728787,8.601987037419455,2.9329144272241314,0.9829900460255795
"height, weight, age, form, shoulder, long_sleeve","sleeve, biceps, armhole, neck, chest, waist, stomach, hip, pants_length, thight, crotch",2.0657946679214687,8.813655287052622,2.9687801008246844,0.9839738790001183
"height, weight, age, form, shoulder, long_sleeve, sleeve","biceps, armhole, neck, chest, waist, stomach, hip, pants_length, thight, crotch",2.1536476831528013,9.408714403950304,3.0673627767106884,0.9840791686297166
"height, weight, age, form, shoulder, long_sleeve, sleeve, biceps","armhole, neck, chest, waist, stomach, hip, pants_length, thight, crotch",2.1925199146068883,9.704654087952816,3.1152293796689863,0.9800779020194301
"height, weight, age, form, shoulder, long_sleeve, sleeve, biceps, armhole","neck, chest, waist, stomach, hip, pants_length, thight, crotch",2.293766379339725,10.321622906719776,3.2127282653096847,0.9761903236414464
"height, weight, age, form, shoulder, long_sleeve, sleeve, biceps, armhole, neck","chest, waist, stomach, hip, pants_length, thight, crotch",2.452579576098744,11.42372323263506,3.379899885001782,0.957457915888145
"height, weight, age, form, shoulder, long_sleeve, sleeve, biceps, armhole, neck, chest","waist, stomach, hip, pants_length, thight, crotch",2.466364513021513,11.620862950344165,3.4089386838639624,0.9560053543383215
"height, weight, age, form, shoulder, long_sleeve, sleeve, biceps, armhole, neck, chest, waist","stomach, hip, pants_length, thight, crotch",2.1336152175042775,8.62164054344255,2.936263023545839,0.9702785875702129
"height, weight, age, form, shoulder, long_sleeve, sleeve, biceps, armhole, neck, chest, waist, stomach","hip, pants_length, thight, crotch",2.0209322647754697,7.399557773578432,2.720212817699827,0.9778566196070372
"height, weight, age, form, shoulder, long_sleeve, sleeve, biceps, armhole, neck, chest, waist, stomach, hip","pants_length, thight, crotch",1.8987362621886317,6.64432962626285,2.5776597188657098,0.9761011413303026
"height, weight, age, form, shoulder, long_sleeve, sleeve, biceps, armhole, neck, chest, waist, stomach, hip, pants_length","thight, crotch",1.7388890278272626,5.573725682684394,2.3608739235046827,0.7544402664734178
"height, weight, age, form, shoulder, long_sleeve, sleeve, biceps, armhole, neck, chest, waist, stomach, hip, pants_length, thight",crotch,1.6891090649488913,5.5214834158712645,2.3497836955497124,0.6583969107892369
